Title,PlotSummary
The Slipper and the Rose,"Prince Edward of Euphrania refuses to marry Selena of Carolsveld, whom his parents have arranged for him to marry. Cinderella's cruel stepmother has banished her to the cellar, and forces her to work as a servant to her and her two vindictive daughters, Isobella and Palatine. Edward's parents want a political alliance with one of the neighboring kingdoms to protect them against war and to secure their safety and future existence."
After Tonight,"Rudolph ""Rudy"" Ritter is a captain in the Austrian Ministry of War assigned to deal with Russian spies, particularly the successful K-14. He gets a lead when a secret message is intercepted; it contains information about a newly improved flamethrower. Rudy sees Karen every night, and the pair fall in love."
Eyecatch Junction,"The Shintai Sobu fitness club is formed by the chief of police to maintain high public opinion of the police force. Its first recruit is the ambitious traffic cop Makoto. Together with their fitness instructor Miyuki these daring policewomen form the secret Eyecatch Junction team to defeat criminals using athletics and gymnastics. Megumi Okada, contractor for the Central Station's Crime Lab and the mayor's daughter, eavesdrops on their conversations using her technology and secretly sends them information she collects under the code name."
The King,"The city of Kozhikode is victimized by a massive communal riot against the slums, costing the lives of 12 people. The aggressive and belligerent, yet honorable and incorruptible district collector Joseph Alex IAS (Mammootty) is suspicious of Shankar's activities and decides to investigate the case."
The Doomsday Machine,"A spy discovers that the Chinese government has created a doomsday device (the ""key"" to which, ""only Chairman Mao has"") capable of destroying the Earth. Half of the male flight crew are replaced by women shortly before take-off, including one Russian. After leaving Earth, the crew deduce that they have been put together to restart the human race should the Chinese activate their device. Shortly after this, the device goes off and Earth is destroyed."
Destination Meatball,"A line of people (including Woody) drool at the window of the shop of market butcher Buzz Buzzard. A series of gags ensues about how Buzz dishonestly (and literally) ""jacks"" up all his prices. Since Woody is broke as usual, he sneaks in and gets thrown out by Buzz. On the way out, Woody collides with a bottle of invisible ink and turns partially invisible."
Devil's Knot,"In 1993, three eight-year-old boys from West Memphis, Arkansas, go missing from their neighborhood. Their bound and beaten bodies are found the next day. The community and the police department are convinced that the murders are the work of a satanic cult. A month later, three teenagers – Damien Echols, Jason Baldwin, and Jessie Misskelley Jr. – are arrested and sentenced to life in prison."
Darna Zaroori Hai,"Darna Zaroori Hai interweaves six stories into one film. Five children get lost in the middle of a forest until they find a haunted house. The children decide to have a competition to see who gets scared first. One child goes down to the bathroom, only to come back as a ghost without revealing her real identity."
Star of Midnight,"Clay ""Dal"" Dalzell (William Powell) is asked by old friend Tim Winthrop (Leslie Fenton) to locate his girlfriend Alice, who mysteriously disappeared in Chicago a year ago. Winthrop cannot stop thinking about her and believes she is in New York. Gossip columnist Tommy Tennant (Russell Hopton) claims to have discovered a vital clue to the mystery."
Mother Lode,"George Spalding disappears after a flight into northern British Columbia's interior wilderness to search for gold. Jean Dupre is available for hire after intimidating a surly passenger with aerobatics in a Molyco Company Cessna 206. The search turns into a whodunit mystery/adventure, involving mistaken identities, greed and murder."
The Final Destination,"Nick O'Bannon has a premonition of a horrible car accident that sends debris into the stands, causing the stadium to collapse. The group visits the mechanic shop to warn Andy, but he is killed when a CO2 tank launches him through a chain link fence. Janet is crushed under the tires, Lori is decapitated by the impact, and Nick is propelled into a wall, dislocating his jaw."
Gangway,"Film critic Pat Wayne boards an ocean liner to New York to interview glamorous movie star Nedda Beaumont. Pat somehow gets mixed up with a gangster and a Scotland yard inspector. Both mistake her for a female jewel thief called ""Sparkle"" The film critic is sent to interview a movie star in New York."
Siliconn City,"The film begins with Sanjay (Srinagar Kitty) along with his friend locking up an unknown man and torturing him with a camera filming the whole incident. The movie then turns to a flash back, where Sanjay narrates how happy he and his family was. Sanjay's middle-class family life also has his friend (Chikkanna) mingling as one of the family member. The delay in getting his bike and seeing his classmate James (Girish) spending casually makes him curious to know what he does for money."
The Precipice Game,"Liu Chenchen, a free-spirited young woman, rebels against her wealthy family and elopes with her boyfriend to join a cruise-bond treasure hunt. But what began as an innocent game with promises of great reward soon turns into a battle for survival. Liu relies only on her wits and her new friends to survive, all the while unmasking foes."
Mirza - The untold Story,Mirza: The Untold Story is based on the legendary love story of Mirza and Sahiba. Mirza (Gippy Grewal) and his Sahiba (Mandy Takhar) fall in love with each other at a very young age. The story takes a turn as Mirza meets Sahiba and their love flourishes once again.
Love Camp 7,"The movie follows two female American officers (played by Maria Lease and Kathy Williams) who volunteer to enter a Nazi camp undercover to gain information from, and possibly rescue, an inmate. The camp's female inmates serve as prostitutes for German officers and are subjected to humiliating treatment, torture, and rape."
Our Very Own,"Los Angeles teenager Gail Macaulay is going steady with deliveryman Chuck, a relationship that sparks jeaolusy in her younger sister Joan. Joan discovers Gail's adoption papers at her sister's 18th birthday party. Gail persuades Lois to have their lawyer arrange a meeting with her birth mother, Gert Lynch, but Lois decides to visit Gert in her Long Beach home first. Gert is thrilled to see photographs of Gail but is loath to let her second husband Jim know she has a child. Lois arranges a meeting the following evening, when Jim will be out."
Mama's Affair,"Eve's mother goes into hysterics at the thought of losing her daughter. Eve's eyes are opened and she uses a ""treat 'em rough"" theory to cure her mother of her hysterics. Eve is willing to marry her mother's son Henry, an effeminate youngster with rimmed glasses."
Angels with Dirty Faces,"In 1923, two youths, Rocky Sullivan (Frankie Burke) and Jerry Connolly (William Tracy) attempt to rob a railroad car carrying fountain pens. After serving his sentence, Rocky returns to his old neighborhood and visits Jerry (Pat O'Brien), who is now a Catholic priest. Rocky rents a room in a boarding house run by Laury Martin, a girl he bullied in school."
The Nun and the Bandit,"In the 1940s, two outlaw brothers kidnap their 14-year-old second cousin. Things get complicated when a nun refuses to abandon her charge. The nuns are chaperoning the girl, who is chaperoned by the kidnappers. The film is set in New York City, New York."
Kalidasu,"Kalidasu (Sushanth) is the son of a sincere police officer (Nagabababu), who is killed in the hands of a factionist (GV) However, he kills that factionist and escapes from Rayalaseema and reaches Guntur. Kanakadurga (Jayasudha) brings him up along with her son Jai Dev (Vamsikrishna) by turning himself a car-lifter. The girl says that her name is Mirchi (Tamannaah) and pretends that she is a lunatic."
Everybody Does It,"Leonard Borland (Paul Douglas) lives and works in New York City as a wrecking contractor, married to socialite Doris (Celeste Holm) Doris considers herself an aspiring opera singer and regularly pressures Leonard to accompany her to operas. Doris is too busy training with her mother and vocal coach to note what her husband is up to, and believes he is on the road for his wrecking work. While on tour, Cecil attempts to seduce him, but Leonard rejects her."
The Family Secret,"David Clark kills best friend Art Bradley in self-defense after an argument. He flees, but later confesses to his father, Howard, a lawyer. Howard Clark proves a key eyewitness to be a convicted perjurer. David finally realizes he must turn himself in and promises to lead a better life."
The Vengeance of She,"A beautiful young European girl, Carol, is drawn through mental telepathy to the ancient lost city of Kuma, there to become the reincarnation of its lost former ruler, Ayesha, and consort of her predecessor's lover, Kallikrates. In return, Men-Hari, a member of the Magi, the ancient Chaldean race of wise men, will also be allowed to enter the sacred flame and become immortal, which will expand his already formidable mental powers to the point where he will be able to take over the entire world. In the course of their travels, Carol and Phillip are"
After Hours,"Paul Hackett, a computer word processor, meets Marcy Franklin in a cafe in New York City. On his way to visit Marcy, his $20 bill is blown out the window of the cab, leaving him with only some spare pocket change. Paul then attempts to go home by subway, but the fare has increased at the stroke of midnight, and he finds that his pocket change is no longer sufficient to purchase a token. Afterward, Paul spots two actual burglars, Neil (Cheech Marin) and Pepe (Tommy Chong) with one of Kiki's sculptures, they flee, dropping the sculpture in"
Takkar,Chaitali Choudhury marries nephew oriented man Ajoy (Prosenjit) against the wishes of her elder brother and aunt. But within a couple of months she and Ajoy go loggerheads over the issue of Ajoy's beloved nephew Arun (Rishi) Arun grows up to become a spoilt brat. The estranged couple still love each other but they can never unite again due to social constraints.
Five Gates to Hell,"Several nurses are taken captive in Indochina by a band of marauders led by Chen Pamok. Chen becomes infatuated with Athena Roberts and, after she resists, she is raped. Athena uses her wiles to lead a revolt, mowing down guerrillas with machine guns."
Night of the Living Dead 3D,"Barb and her brother Johnny arrive late for their aunt's funeral and find the cemetery overrun with zombies. Barb flees the cemetery and is rescued by Ben, a local college student. The two seek refuge in the nearby farmhouse of the Cooper family (Henry & Hellie Cooper, Henry's daughter and Hellie's stepdaughter Karen, farmhand Owen, and farmhand Tom and his girlfriend Judy."
 Waking the Dead,"The film flashes back and forth between the 1970s and 1980s and centers on the relationship between Fielding Pierce, a young Coast Guard officer with political ambitions, and idealistic Roman Catholic Sarah Williams. In the opening scene, Fielding sees a television news program reporting Sarah's death in a Minneapolis car bombing following a church-organized excursion to Chile to feed the poor and organize resistance to the oppressive Pinochet dictatorship."
Who Killed Who?,"A live-action host (Robert Emmett O'Connor) opens with a disclaimer about the nature of the cartoon. The story begins on a dark and stormy night as the victim (voiced by Kent Rogers) is reading a book based on the cartoon he's in. Frightened, he muses that, according to the book, he is about to be ""bumped off"" A mysterious killer in a heavy black cloak and hood shoots him dead with a rather large pistol."
Vampire in Brooklyn,"An abandoned ship crashes into a dockyard in Brooklyn, New York, and the ship inspector, Silas Green, inspects it, finding it full of corpses. Max, a mysterious vampire, kills Julius and infects Julius with his vampiric blood, turning Julius into a decaying ghoul. Max is sent to her by her father (a vampire, making Rita a dhamphir), whom she has long been curious about."
Something Short of Paradise,"Madeleine Ross (Susan Sarandon) is a journalist, and her boyfriend, Harris Sloane (David Steinberg), is the owner of an art theatre. Their relationship is on-again/off-again, and when Madeeine meets the French star Jean-Fidel Mileau (Jean-Pierre Aumont) it provokes changes in the way she and Harris feel."
Crooklyn,"In 1973, nine-year-old Troy Carmichael and her brothers Clinton, Wendell, Nate, and Joseph live in the Bedford-Stuyvesant neighborhood of Brooklyn. The children live with their parents, Woody, a struggling musician, and Carolyn, a schoolteacher. Troy assumes the matriarch role that Carolyn left behind."
Pumpkinhead II: Blood Wings,"In 1958 in Ferren Woods, a small backwater town, an old blind witch, Ms. Osie, feeds a deformed orphan named Tommy; he is the offspring of Pumpkinhead. As Tommy eats, a car of six teens chases him with switchblade knives and baseball bats; they corner him at an old iron mine, killing him. Thirty-five years later, Sheriff Sean Braddock, his wife, and his daughter Jenny have come into town."
Road to Paradise,"Loretta Young plays the part of an orphan who has been raised by two thieves (Raymond Hatton and George Barraud) and does not know that she has a twin sister. One day, while she is dining at a Chinese restaurant with her two guardians, they notice the wealthy socialite and are taken aback at how closely she resembles Young. Young tricks the police into thinking that Waring is an imposter and thief. The charges against Waring are dropped and Young accepts Mulhall's proposal of marriage."
"Cold Light of Day ","Will Shaw (Henry Cavill) owns a consultancy business in San Francisco about to go into insolvency, reluctantly visiting his family in Spain for a holiday. Will's preoccupation with the phone results in a sailing accident where Will leaps to save his brother's girlfriend Dara (Emma Hamilton) from being hit by the yacht's boom but she hits her head on a winch. Will swims to town to fetch medical supplies and to cool down; when he returns, he can no longer find his family. Martin reveals he is a CIA agent, and that the kidnappers are after a briefcase he had"
Billy Elliot,"Billy Elliot, 11, loves to dance and has hopes of becoming a professional ballet dancer. His widowed father and older brother are outraged at the prospect of him becoming a dancer. Jackie and Tony are outraged that Billy will be considered to be gay. Over Christmas, Billy learns his best friend Michael is gay, but is supportive of his friend."
Chandni,"Rohit (Rishi Kapoor) meets Chandni (Sridevi) at a wedding of a relative and falls instantly in love with her. Eventually, they are engaged to be married soon. Rohit's family is against this marriage decision because of the difference in their social status, but that does not bother Rohit."
Seven Footprints to Satan,"Jim and Eve are kidnapped on the eve of Jim's departure for Africa. They are brought to a mansion that is home to a strange and glamorous Satanic cult. A young society couple are kidnapped and brought to the mansion by a cult. The film is set in New York City, New York."
Opium and the Kung-Fu Master,"Master Tie Qiao San (Ti Lung) is the leader of the Ten Tigers of Canton. At that time, the opium ban was in use, but public sale of opium was widely available. Many bureaucrats were taking opium, as Tie followed a trend that led to his physical skills declining. Seeing how Tie's skills are declining, opium store owner Rong Feng challenges Tie to a public duel. Tie struggles to fight Rong and was in serious danger until his disciple Lu Guasi steps in to rescue him."
 Angst,"Angst tells the story of a group of horror film devotees living in Sydney's King's Cross. It has been described as an Australian version of Kevin Smith's Clerks and Mallrats with the same Dark humor as SubUrbia. The film stars Sam Lewis as a cynical, sexually frustrated video store employee with a bad case of unresolved love."
Foolproof,"Kevin (played by Reynolds), Sam (Booth) and Rob (Jarsky) create working plans to infiltrate and burgle various targets. They do not actually execute these heists, preferring to simply simulate them. All is fine until a famous criminal, Leo Gillete (Suchet) steals the trio's plans for a jewelry warehouse heist and accomplishes it. He then blackmails the group into designing and executing a plan to steal $20 million in bonds from a bank."
Old Dogs,"Dan Rayburn (Robin Williams) and Charlie Reed (John Travolta) are best friends and co-owners of a successful sports marketing firm. Seven years prior, Dan, recently divorced, married Vicki (Kelly Preston) after being whisked away by Charlie for a tropical vacation. Vicki resurfaces to tell Dan that their short marriage resulted in twins Zach (Conner Rayburn) and Emily."
The President,"A revolution is happening in a country with a dictatorial president. The president sends his family abroad but his grandson wants to stay with his grandfather. In order to save their lives they run away and the president disguises himself as a gypsy. They must experience poverty and hunger during their journey, and see the effects of the dictatorship."
Love Is Love,Shi Jinshui and Wu Daidi were childhood sweethearts. They elope from their hometown and live in urban areas. Shi falls in love with his superior and break up with his wife. Two years later he finds himself still in love and decides to find his beloved wife.
Phillauri,"A young man returns to India from Canada to marry his long-term girlfriend Anu (Mehreen Pirzada), but comes to know that as he is a manglik (born under an unlucky star) he has to get married to a tree before getting married to her. As a result, from that day onwards he is haunted by the spirit of a woman named Shashi (Anushka Sharma), who lived in that particular tree and hence claims to now be'married' to him. The story of Phillauri and Shashi is slowly revealed via the latter's flashbacks."
Jakkanna,A man's attempts to repay a kindness earns him the wrath of a ruthless gangster (Kabir Duhan Singh) who just wants to be left alone to continue his illegal dealings. The film is based on a novel written by Sunil Singh in India.
Pained,"Street vendor Dong-hyun (Jung Ryeo-won) suffers from severe hemophilia, a disorder that impedes the body's ability to stop bleeding. Nam-soon (Kwon Sang-woo) lost his sense of pain after a traumatic accident during his youth."
My Ordinary Love Story,"Eun-jin struggles to make her seventh relationship work after six failed ones. She begins to suspect that her new boyfriend, bumbling but sweet Hyun-suk, may be hiding something from her. Hyun Suk is a bumbling, but sweet bumbling and bumbling Korean."
Uneasy Terms,"Slim Callaghan is a private eye whose client, Colonel Stenhurst, is murdered. Viola, the eldest of the Colonel's three stepdaughters, is the prime suspect. After wading through clues and romance, Callaghan corners the real culprit.[3]"
Pugaippadam,Krishna and Gowri were friends in their college since I-year. Shiney George(Priya Anand) joined in their gang and soon Shiney and Krishna Fell in Love. Bala admired at shiney at first sight and loved her when she supported him at the time of Ragging. But the plan went wrong when shiney slapped Krishna and the gang broken up.
Hotel Chelsea,"A newlywed Japanese couple travel to the Hotel Chelsea in New York City to enjoy their honeymoon. One night, the wife finds the lifeless body of her husband and a video of the brutal murder. A police detective arrives at the scene and tries to reconstruct the events surrounding the mysterious crime."
Anjathe,"Sathyavan (Narain) and Kirubakaran (Ajmal Ameer) are close friends living opposite each other in the police quarters neighborhood. Parallel is the story of Deena Dayalan (Prasanna) and Loganathan aka Logu (Pandiarajan) who extort money from businessmen through kidnappings. Sathya gains fame by holding off knife-wielding men who come to kill an injured man at a hospital, though the man is killed later in the night. Kiruba is employed by Daya, mainly because the former is distraught and will fall easily to the lure of money"
London After Midnight,"Sir Roger Balfour's death is officially declared a suicide by Inspector Edward C. Burke of Scotland Yard. Five years later, with the case still unresolved, a sinister-looking man with pointed teeth wearing a Beaver-skin top hat, arrives at the household with a cadaverous-looking woman in a long gown. The arrival of these two individuals prompts the arrival of Sir James Hamlin, the friend and neighbour of the deceased, to call Scotland Yard to investigate."
River's Edge,"In Northern California, an adolescent boy, Tim (Joshua John Miller), throws a doll into a river. On the opposite bank, he sees teenager John ""Samson"" Tollet (Daniel Roebuck) smoking a cigarette; next to him is the nude corpse of his girlfriend, Jamie (Danyi Deats) Next to him, Tim encounters John arguing with the clerk over buying beer. Tim and his friend Moko break into Feck's house in search of a gun, but find his stash of marijuana instead. Samson drunkenly begins to brag about killing Jamie, recounting his strangling her to death"
The Vagabond King,"Jeanette MacDonald is Katherine, the high-born girl whom Villon pines for. Huguette, a tavern wench (Lillian Roth) gives up her life to save her beloved poet. Despite being successful against the Burgundians, Villon is sentenced to hang by King Louis XI."
Mallikarjuna,"Ravichandran plays a dual role of Father - son. Seetha pairs up for the father role, Sadha pairs for the son role. Sadha plays the son in the role of a father-to-be-son role in the film. Ravich and Sadha play the roles of the father and son."
Immortal Sergeant,"In North Africa, experienced Sergeant Kelly (Thomas Mitchell) leads out a British patrol, accompanied by Corporal Colin Spence (Henry Fonda), an unassertive Canadian. Spence has to assert his leadership when one of his men advocates surrendering, leading them in a surprise attack under the cover of a sandstorm. Kelly orders Spence to leave him behind; when Spence refuses to obey, he shoots himself."
The Pied Piper of Hamelin,"The Pied Piper (Van Johnson) is first spotted working magic in Hamelin by a disabled boy, Paul, and playing his signature tune In the Hall of the Mountain King. The town of Hamelin has entered a competition in order to win a banner from the King. It is then that the Piper magically appears before the Mayor and his councilors. Asking to be paid all the money in the town's treasury, he offers to rid the town of the rats. The Piper rids the rats, but the Mayor plots to use the gold to construct the chimes."
Kalyug,"This is a tale of intrigue, plots and the inevitable war between two families. Ramchand and Bhishamchand were two pioneering brothers in business. A series of events brings the feud between the two families to light. The situation gets out of hand and events take a tragic turn."
One from the Heart,"Hank, a mechanic, and Frannie, a travel agent, break up while celebrating their fifth anniversary. After their nights of passion, Hank breaks down, tracks Frannie to her lover's apartment and abducts her. She refuses to stay with him and walks away, saying that this time it is goodbye forever."
The World's Greatest Lover,"Rudy Hickman is a neurotic baker from Milwaukee, but aspires to become a Hollywood star. His entry into the contest tests his marriage, and his neuroses manifest in his screen test, where he nearly kills his fellow actress. Now calling himself ""Rudy Valentine,"" he gets a slot in the final phase of the contest just after finding his wife Annie has left him."
Open Tee Bioscope,"The film steers through comedy, drama, and emotions of the middle class community of 1990's Kolkata. The film carefully captures the essence of North K.Kolkata, and the quintessential spirit of the para football. It is based on a documentary based on the book, ""The World Cup"", which was released in November 2013."
Watchers,"A mutated monster known as the OXCOM (Outside Experimental Combat Mammal) escapes and chases a golden retriever from the same lab, through the surrounding woods. Travis Cornell (Corey Haim) is with his girlfriend Tracey (Lala Sloatman) in the barn. Travis starts to realize the dog is extraordinary and decides to keep it. Meanwhile, an NSO agent named Johnson (Michael Ironside) is dispatched by the corporation to retrieve the animals. The next morning, Travis's mother informs him that Tracey is in the hospital."
Başka Dilde Aşk,"Onur, who has been deaf since birth, works as a librarian. His father had left him and his mother when he was seven, and Onur has always blamed himself for this. Zeynep is forced by her overbearing father to leave home and gets a job at a call-center. She finds peace with Onur who she communicates with perfectly without speaking."
Fantasia,"In 1969 of Hong Kong, private detective agency director Man (Sean Lau) and his two employees, Sam (Louis Koo) and Fugu (Jordan Chan) are investigating an adultery case. In the pile of debris, Fugu finds a lamp which was unable to turn on, where Man throws the lamp out the window. A sorceress named Harmy Bobo magically emerges from the lamp and asks the trio to each make a wish, so she can return to her world. Bobo's failed spells causes Man to be exposed from his cheating, and thus, he forges a rivalry with gang boss Kin."
Diary of a Wimpy Kid,"Greg attends his first day at middle school and discovers the ups and downs, such as the missing stall doors in the boys' bathroom and the difficulties of obtaining a seat during lunch break. Greg and his best friend Rowley learn about the Cheese Touch - a rotten piece of cheese on the basketball court that makes anyone who touches it an outcast. The boys join Safety Patrol in an effort to become popular, and they try out for a contest that offers a student a chance to become the new cartoonist for the school paper. After Greg breaks Rowley's arm during a game the boys played, Rowley becomes extremely popular,"
The Joy Luck Club,"The Joy Luck Club was formed by four women in San Francisco. They emigrated from their native country, China, remarried, and gave birth to children in America. The mothers and daughters bond by learning to understand each other and by overcoming their conflicts. The film begins with June's prologue tale. In China, Lindo Jong (Ying Wu) is arranged, by her mother (Xi Meijuan) and the matchmaker, to be married to Mrs Huang's son when she grows up."
Little Darlings,"A group of teenage girls from Atlanta go to summer camp, and, unbeknownst to the adults, two of them make a bet as to which one will lose her virginity first. The girls involved in the contest are opposites and rivals: cynical, suspicious and streetwise poor girl Angel Bright, and naive, prissy and romantic rich girl Ferris Whitney. The two girls then choose ""targets"", or guys they want to be the ones they lose their virginity with. Both girls discover that sex is not what they thought it would be."
Rhubarb,"Thaddeus J. Banner, a lonely, eccentric millionaire who owns a baseball team, the Brooklyn Loons, takes a liking to a stray cat. He names the cat ""Rhubarb,"" which is baseball slang for an on-field argument or fight. When the man dies, it is discovered that his last will and testament made Rhubarb his sole beneficiary."
The Right Person,"Margo Lorenz plays the newly married Martha Jorgensen, who is sat in her Copenhagen hotel room waiting for her husband, Jorgen, to return. She receives a visit from the mysterious Mr. Rasmusson (Douglas Wilmer) who claims to have been a ""comrade"" of her husband during World War II. He reveals that he and Jorgenson were two of a group of 12 men in the Danish underground resistance."
Aadukalam,"In Madurai, veteran rooster trainer Pettaikaaran aka Pettai (V. I. S. Jayapalan) and Police Inspector Rathnaswamy (Naren) are tough competitors in cockfights. Karuppu (Dhanush) and Durai (Kishore) are the favorites in Pettai's team. Durai is very rich, owns three bars in the town of Thiruparangundram, and is also talented in cock training. Pettai decides to conduct a tournament in Ayubh's name and provide his family with funds, so that his family's daughters can"
Athaiya Mamiya,"Shankar(Jaishankar) returns from abroad after successfully completing his higher studies. Shankar's parents plan to marry off Shankar to one of their relative's daughter. A series of comic incidents. Things get serious when Shankar reveals to them that he already met the love of his life, Usha."
An American Tail: Fievel Goes West,"Mousekewitz family immigrates to the U.S. in 1885. Cat R. Waul, an aristocrat cat forces the mice into the sewers, forcing them to move to a better life out west. Fievel overhears the cats' plot to turn them into ""mouse burgers"" and is thrown from the train by Cat R.'s hench-spider, T.R. Chula. Tiger chases the train, trying to catch up with his friends, but is thrown off course by a pack of angry dogs. Tiger is captured by mouse Indians and hailed as a god."
Grand Prix,"A racing car driver accidentally kills his fiancee's father. The accident happened during a race car race. The father of the fiancee was killed by a racing car accident. The driver accidentally killed the father of her fiancee, who was killed in a car crash. The car crash is the first time a driver has accidentally killed a driver."
Library Wars: The Last Mission,"Iku Kasahara is now a full-fledged member of the Library Defense 'Task Force' The Task Force are ordered to guard a public exhibition featuring ‘The Handbook of Library Law’, a book widely seen as the symbol of freedom, of which there is only one existing copy. The assignment seems easy enough, but this is in fact a trap designed to wipe out and thus disband the Task Force."
Irma Vep,"Cheung is employed to play the film-within-the-film's heroine, Irma Vep, a burglar, who spends most of the film dressed in a tight, black, latex rubber catsuit. As the film progresses, the plot mirrors the disorientation felt by the film's director. The film questions the place of French cinema today."
The Pumpkin Eater,"The story revolves around Jo Armitage (Bancroft), a woman with an ambiguous number of children from three marriages, who becomes negative and withdrawn after discovering that her third (and current) husband, Jake (Finch), has been unfaithful to her. After a series of loosely related events in which Jake's infidelity is balanced by his reliability as a breadwinner and a father, Jo and Jake take a tentative step toward reconciliation."
The Spy: Undercover Operation,"Chul-soo is the greatest secret agent in South Korea, but at home he is a loving husband who's intimidated by his flight attendant wife Young-hee. One day he tells his wife that he'll be going to Busan for business, but actually travels with his department head Jin to Bangkok, Thailand to carry out a top secret operation with national ramifications."
The Guest,"David Collins is a former army Sergeant and Caleb's best friend. He visits the Peterson family to help Caleb take care of Caleb's eldest son Caleb. David was a former test subject for a medical experiment in the military. He was ""programmed"" to kill anyone who might compromise his identity."
Sarada Bullodu,"Vijay (Venkatesh), an engineer in AP Oils, stays with his widowed mother Shanta. Rajeswari Devi (Manjula), a greedy, cruel & crooked woman is the head of Attamadugu, whose word is a law for the villagers. The property that she is enjoying belongs to her brother Jaya Chandra (Murali Mohan) who is a drunkard. The film ends with the marriage of Vijay & Nirmala Devi."
Ala Modalaindi,"Gautham (Nani) is abducted by John Abraham (Ashish Vidyarthi) on the way to stop a marriage. He is ready to propose to Simran (Kriti Kharbanda) with a bunch of red roses, but destiny has other plans. Elsewhere, Nithya (Nithya Menen) is playing cricket and hits him with her shot and he is taken to the hospital in the stretcher. He realises he's in love with her, but before he could tell her, he finds out that she is already engaged. He starts dating a veterinary doctor,"
The Great Commandment,"The film takes place in 30 A.D. Judea in a fictional village near Jerusalem. The protagonist is Joel, the elder son of the village rabbi Lamech. Joel is secretly a zealot leader, believing that more must be done to help his nation than studying the Scriptures. Joel runs afoul of his father in declaring his love for Tamar, whom his father wants wedded to Zadok, and in revealing that he is a leader. He comes up with the idea that he and the zealots would kidnap Jesus and force His hand to support them. This is forestalled by Jesus' appearance at"
Kiss Toledo Goodbye,"A young Ohio investment advisor must impersonate a Mafia Godfather for a few weeks following the assassination of his crime-boss biological father. He tries to keep this new life secret from his real family, especially from his very jealous fiancee (Christine Taylor), with the help of his new Cosa Nostra ""family,"" especially his father's chief lieutenant."
Black Friday,"The famous Dr. Ernest Sovac's best friend, George Kingsley, is run down while crossing a street. In order to save his friend's life, Sovac implants part of another man's brain into the professor's. Unfortunately, the other man was a gangster involved in the accident. The professor recovers but at times behaves like the gangster, and his whole personality changes."
Poochudava,"The story is very simple and a usual typical Indian love story. It was Abbas' and Simran's second project together after a Telegu movie, Priya O Priya. Abbas (as Kannan) play the role of a rebellious college student in this movie. While Simran (as Nandhini) acts as his love lady."
